,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
0,10,min_degree,1,Lowest Evidence,0,0.14841580390930176
1,10,min_degree,1,Lowest Evidence,1,0.11440038681030273
2,10,min_degree,1,Lowest Evidence,2,0.11310768127441406
3,10,min_degree,1,Lowest Evidence,3,0.1328296661376953
4,10,min_degree,1,Lowest Evidence,4,0.11612486839294434
5,10,min_degree,1,Lowest Evidence,5,0.12079191207885742
6,10,min_degree,1,Lowest Evidence,6,0.12615084648132324
7,10,min_degree,1,Lowest Evidence,7,0.1355881690979004
8,10,min_degree,1,Lowest Evidence,8,0.12216544151306152
9,10,min_degree,1,Lowest Evidence,9,0.12197685241699219
10,10,min_degree,2,25% Evidence,0,0.12211298942565918
11,10,min_degree,2,25% Evidence,1,0.11745953559875488
12,10,min_degree,2,25% Evidence,2,0.12028288841247559
13,10,min_degree,2,25% Evidence,3,0.11383605003356934
14,10,min_degree,2,25% Evidence,4,0.11158370971679688
15,10,min_degree,2,25% Evidence,5,0.11271953582763672
16,10,min_degree,2,25% Evidence,6,0.1206972599029541
17,10,min_degree,2,25% Evidence,7,0.11696577072143555
18,10,min_degree,2,25% Evidence,8,0.11560893058776855
19,10,min_degree,2,25% Evidence,9,0.11794900894165039
20,10,min_degree,5,50% Evidence,0,0.12272787094116211
21,10,min_degree,5,50% Evidence,1,0.12187361717224121
22,10,min_degree,5,50% Evidence,2,0.1195981502532959
23,10,min_degree,5,50% Evidence,3,0.11887574195861816
24,10,min_degree,5,50% Evidence,4,0.117706298828125
25,10,min_degree,5,50% Evidence,5,0.1185142993927002
26,10,min_degree,5,50% Evidence,6,0.11570286750793457
27,10,min_degree,5,50% Evidence,7,0.11606407165527344
28,10,min_degree,5,50% Evidence,8,0.11642169952392578
29,10,min_degree,5,50% Evidence,9,0.1172797679901123
30,10,min_degree,8,75% Evidence,0,0.1167747974395752
31,10,min_degree,8,75% Evidence,1,0.11733245849609375
32,10,min_degree,8,75% Evidence,2,0.1150209903717041
33,10,min_degree,8,75% Evidence,3,0.11232304573059082
34,10,min_degree,8,75% Evidence,4,0.11328482627868652
35,10,min_degree,8,75% Evidence,5,0.11234831809997559
36,10,min_degree,8,75% Evidence,6,0.1127464771270752
37,10,min_degree,8,75% Evidence,7,0.11246609687805176
38,10,min_degree,8,75% Evidence,8,0.11331582069396973
39,10,min_degree,8,75% Evidence,9,0.11454582214355469
40,10,min_degree,9,Maximum Evidence,0,0.11232447624206543
