Unnamed: 0,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
2290,25,min_degree,24,Maximum Evidence,0,0.3498778343200683
2291,25,min_degree,24,Maximum Evidence,1,0.3350808620452881
2292,25,min_degree,24,Maximum Evidence,2,0.3318028450012207
2293,25,min_degree,24,Maximum Evidence,3,0.3316960334777832
2294,25,min_degree,24,Maximum Evidence,4,0.3348112106323242
2295,25,min_degree,24,Maximum Evidence,5,0.3358824253082275
2296,25,min_degree,24,Maximum Evidence,6,0.3335516452789306
2297,25,min_degree,24,Maximum Evidence,7,0.3196167945861816
2298,25,min_degree,24,Maximum Evidence,8,0.3172962665557861
2299,25,min_degree,24,Maximum Evidence,9,0.3220052719116211
2340,25,min_fill,24,Maximum Evidence,0,0.344935655593872
2341,25,min_fill,24,Maximum Evidence,1,0.3445696830749511
2342,25,min_fill,24,Maximum Evidence,2,0.3467609882354736
2343,25,min_fill,24,Maximum Evidence,3,0.3465859889984131
2344,25,min_fill,24,Maximum Evidence,4,0.3454370498657226
2345,25,min_fill,24,Maximum Evidence,5,0.3518192768096924
2346,25,min_fill,24,Maximum Evidence,6,0.3471701145172119
2347,25,min_fill,24,Maximum Evidence,7,0.3482835292816162
2348,25,min_fill,24,Maximum Evidence,8,0.4227306842803955
2349,25,min_fill,24,Maximum Evidence,9,0.3582980632781982
2390,25,random,24,Maximum Evidence,0,0.3361985683441162
2391,25,random,24,Maximum Evidence,1,0.3390424251556396
2392,25,random,24,Maximum Evidence,2,0.3308579921722412
2393,25,random,24,Maximum Evidence,3,0.3200204372406006
2394,25,random,24,Maximum Evidence,4,0.3318274021148681
2395,25,random,24,Maximum Evidence,5,0.3277356624603271
2396,25,random,24,Maximum Evidence,6,0.343327522277832
2397,25,random,24,Maximum Evidence,7,0.3429276943206787
2398,25,random,24,Maximum Evidence,8,0.3139622211456299
2399,25,random,24,Maximum Evidence,9,0.3235945701599121
